STATE,District Name,Commodity,Modal_Price,Date,Price_per_kg,Price_display
Maharashtra,satara,Potato,1978.125,31-May-2025,19.78,₹ 19.78 / kg
Maharashtra,sholapur,Onion,918.1948051948052,31-May-2025,9.18,₹ 9.18 / kg
Maharashtra,sholapur,Potato,1773.2558139534883,31-May-2025,17.73,₹ 17.73 / kg
Maharashtra,sholapur,Rice,3743.2608695652175,31-May-2025,37.43,₹ 37.43 / kg
Maharashtra,thane,Onion,1323.3333333333333,31-May-2025,13.23,₹ 13.23 / kg
Maharashtra,thane,Potato,1686.3636363636365,31-May-2025,16.86,₹ 16.86 / kg
Maharashtra,thane,Rice,4520.432835820896,31-May-2025,45.2,₹ 45.2 / kg
Manipur,bishnupur,Onion,2955.8823529411766,31-May-2025,29.56,₹ 29.56 / kg
Manipur,bishnupur,Potato,1955.8823529411768,31-May-2025,19.56,₹ 19.56 / kg
Manipur,bishnupur,Rice,5200.0,31-May-2025,52.0,₹ 52.0 / kg
Manipur,thoubal,Onion,2779.4117647058824,31-May-2025,27.79,₹ 27.79 / kg
Manipur,thoubal,Potato,1781.25,31-May-2025,17.81,₹ 17.81 / kg
Manipur,thoubal,Rice,5300.0,31-May-2025,53.0,₹ 53.0 / kg
Meghalaya,east khasi hills,Potato,1828.571428571429,31-May-2025,18.29,₹ 18.29 / kg
Meghalaya,south garo hills,Potato,5000.0,31-Jan-2025,50.0,₹ 50.0 / kg
Meghalaya,west khasi hills,Potato,3200.0,31-May-2025,32.0,₹ 32.0 / kg
Nagaland,kiphire,Potato,2000.0,31-May-2025,20.0,₹ 20.0 / kg
Nagaland,kohima,Onion,3200.0,30-Apr-2025,32.0,₹ 32.0 / kg
